="Table 1: Regression results of price and it's factors"

="",="Model A",="Model B",="Model C",="Model D",="Model E"

="Mileage (mpg)",="-238.9***",="-49.51",="21.85",="19.08",="297.0***"
="",="(53.08)",="(86.16)",="(74.22)",="(73.34)",="(108.2)"

="Weight (lbs.)",="",="1.747***",="3.465***",="2.458***",="3.422***"
="",="",="(0.641)",="(0.631)",="(0.871)",="(0.865)"

="Car origin",="",="",="3673.1***",="3930.2***",="12769.9***"
="",="",="",="(684.0)",="(693.3)",="(2741.8)"

="Displacement (cu. in.)",="",="",="",="10.22",="13.91**"
="",="",="",="",="(6.181)",="(5.882)"

="Mileage (mpg)",="",="",="",="",="0"
="",="",="",="",="",="(.)"

="Foreign",="",="",="",="",="0"
="",="",="",="",="",="(.)"

="Foreign X Mileage (mpg)",="",="",="",="",="-355.1***"
="",="",="",="",="",="(107.0)"

="Constant",="11253.1***",="1946.1",="-5853.7*",="-4846.8",="-14418.6***"
="",="(1170.8)",="(3597.0)",="(3377.0)",="(3391.1)",="(4285.4)"

="Observations",="74",="74",="74",="74",="74"
="Adjusted R-squared",="0.209",="0.273",="0.478",="0.491",="0.555"

="Standard errors in parentheses"
="Source: auto.dta"
="* p<0.10, ** p<0.05, *** p<0.01"
